ApplicationID,CandidateID,JobRoleKey,SourceKey,AppliedDate,FurthestStageKey,Status,HiredDate,TimeToHireDays
1,3117,43,5,2026-04-14,1,Withdrawn,,
2,2095,63,1,2025-12-10,1,Rejected,,
3,40,52,2,2025-05-11,2,Rejected,,
4,1854,18,5,2026-04-20,2,Withdrawn,,
5,1842,41,4,2025-01-06,2,Rejected,,
6,2342,30,3,2026-01-26,2,Rejected,,
7,703,14,2,2025-03-16,3,Rejected,,
8,2460,61,4,2025-01-27,5,Hired,2025-03-04,36
9,790,53,5,2026-01-05,2,Withdrawn,,
10,2310,25,1,2025-06-01,2,Withdrawn,,
11,1220,3,5,2025-12-28,1,Rejected,,
12,350,26,2,2025-03-02,1,Rejected,,
13,1841,49,3,2025-11-17,1,Rejected,,
14,857,30,3,2025-11-09,2,Rejected,,
15,1127,64,6,2026-02-28,1,Rejected,,
16,1533,6,1,2025-10-19,1,Rejected,,
17,2383,25,1,2025-12-24,2,Rejected,,
18,1290,15,1,2025-02-18,5,Hired,2025-04-06,47
19,2772,10,1,2025-10-09,2,Rejected,,
20,358,26,6,2026-01-09,2,Rejected,,
21,2588,21,1,2025-05-09,3,Rejected,,
22,2121,10,4,2025-12-16,2,Rejected,,
23,2965,21,1,2025-12-29,1,Rejected,,
24,2619,11,1,2026-01-22,1,Withdrawn,,
25,3004,6,1,2026-04-18,2,Rejected,,
26,2939,33,3,2025-07-14,1,Rejected,,
27,1358,54,2,2026-01-05,2,Rejected,,
28,2580,50,2,2025-02-09,1,Rejected,,
29,1539,17,3,2025-08-13,1,Rejected,,
30,2854,24,1,2025-02-21,1,Rejected,,
31,1738,38,4,2025-04-25,2,Rejected,,
32,2475,32,2,2025-01-31,1,Rejected,,
33,895,25,2,2025-09-05,1,Rejected,,
34,1537,2,3,2026-05-21,3,Rejected,,
35,504,37,1,2025-11-16,2,Rejected,,
36,2368,57,4,2025-09-28,5,Hired,2025-10-19,21
37,802,19,1,2025-05-22,1,Rejected,,
38,1737,56,5,2025-04-19,2,Withdrawn,,
39,2537,35,2,2025-05-30,5,Hired,2025-06-26,27
40,360,30,2,2025-12-24,3,Rejected,,
41,2556,6,5,2025-05-27,3,Rejected,,
42,78,24,3,2026-03-06,2,Rejected,,
43,2919,37,2,2026-05-20,1,Rejected,,
44,1754,16,2,2025-09-16,3,Rejected,,
45,2051,25,2,2026-01-07,1,Rejected,,
46,1047,23,4,2025-12-08,1,Rejected,,
47,368,48,1,2025-10-14,3,Rejected,,
48,2474,54,3,2025-02-15,2,Rejected,,
49,1082,16,1,2026-01-11,2,Rejected,,
50,3102,1,3,2026-05-22,1,Withdrawn,,
51,2354,42,3,2025-01-08,1,Rejected,,
52,1581,49,3,2025-03-04,1,Rejected,,
53,752,4,1,2025-11-25,1,Rejected,,
54,3170,47,4,2025-03-14,1,Withdrawn,,
55,1861,6,2,2025-04-15,1,Rejected,,
56,2270,21,2,2025-06-20,5,Hired,2025-07-08,18
57,280,53,1,2025-06-17,5,Hired,2025-07-17,30
58,1816,46,2,2025-03-06,2,Withdrawn,,
59,2170,22,1,2026-05-15,1,Rejected,,
60,2338,52,6,2026-05-09,3,Rejected,,
61,205,24,1,2025-04-25,2,Withdrawn,,
62,3032,38,2,2026-02-07,1,Rejected,,
63,855,29,4,2026-01-20,1,Rejected,,
64,2391,19,3,2025-10-23,1,Rejected,,
65,149,57,2,2025-12-04,2,Rejected,,
66,1762,22,3,2025-06-22,3,Rejected,,
67,2314,7,3,2025-05-20,1,Rejected,,
68,2068,58,3,2025-02-05,2,Rejected,,
69,2474,38,2,2026-02-04,1,Rejected,,
70,2850,50,3,2026-01-02,2,Rejected,,
71,923,27,3,2025-03-14,1,Rejected,,
72,1399,6,3,2025-07-24,2,Rejected,,
73,2357,38,3,2026-02-04,3,Withdrawn,,
74,630,59,4,2025-01-02,1,Rejected,,
75,3188,22,4,2025-06-13,1,Rejected,,
76,17,2,1,2026-04-26,2,Rejected,,
77,2683,53,4,2025-09-30,1,Rejected,,
78,1650,46,5,2025-11-05,1,Rejected,,
79,2598,32,1,2025-05-11,1,Withdrawn,,
80,1268,61,1,2026-01-06,2,Withdrawn,,
81,1635,6,3,2026-05-25,1,Rejected,,
82,322,30,3,2025-05-20,2,Rejected,,
83,733,10,1,2025-08-24,2,Rejected,,
84,2839,45,5,2025-02-28,4,Rejected,,
85,1633,19,1,2026-05-21,5,Hired,2026-06-14,24
86,982,13,3,2025-07-29,5,Hired,2025-09-07,40
87,3032,47,2,2025-01-08,1,Rejected,,
88,799,22,3,2026-02-16,3,Rejected,,
89,2685,54,4,2026-03-31,1,Rejected,,
90,373,44,1,2025-04-04,2,Rejected,,
91,114,48,3,2025-05-16,1,Rejected,,
92,33,12,2,2026-02-21,1,Withdrawn,,
93,3053,18,1,2025-11-27,1,Rejected,,
94,3066,14,3,2025-12-30,1,Rejected,,
95,1417,58,2,2025-12-23,2,Withdrawn,,
96,697,64,5,2025-05-31,1,Rejected,,
97,2725,32,2,2026-05-19,1,Rejected,,
98,1480,20,2,2025-12-16,3,Rejected,,
99,2450,45,1,2026-02-13,1,Rejected,,
100,982,50,4,2025-11-07,1,Rejected,,
101,1852,68,4,2025-03-15,1,Rejected,,
102,3174,12,1,2025-10-30,1,Rejected,,
103,2982,52,2,2025-06-25,5,Hired,2025-07-20,25
104,447,40,2,2025-01-03,2,Rejected,,
105,1233,14,2,2025-12-23,3,Rejected,,
106,2109,9,3,2025-09-03,1,Rejected,,
107,1969,54,6,2025-03-09,1,Rejected,,
108,1198,43,2,2026-03-30,1,Rejected,,
109,152,16,3,2025-01-21,2,Rejected,,
110,1734,38,3,2026-02-25,2,Rejected,,
111,1414,11,1,2025-04-13,1,Rejected,,
112,337,40,1,2025-05-03,2,Rejected,,
113,630,12,2,2026-01-31,1,Rejected,,
114,1199,39,3,2026-03-13,1,Rejected,,
115,2625,49,2,2025-12-28,1,Rejected,,
116,1972,60,3,2025-10-03,2,Rejected,,
117,1262,10,2,2026-04-14,1,Withdrawn,,
118,2646,56,3,2025-04-19,5,Hired,2025-05-20,31
119,1105,55,5,2025-01-11,2,Rejected,,
120,1524,40,3,2026-01-17,1,Withdrawn,,
121,425,12,6,2025-04-02,1,Rejected,,
122,598,42,1,2025-07-10,2,Rejected,,
123,106,62,4,2025-02-10,1,Rejected,,
124,2112,31,5,2026-04-24,1,Rejected,,
125,2471,8,4,2025-03-07,5,Hired,2025-04-20,44
126,2782,13,6,2025-01-13,5,Hired,2025-03-14,60
127,1232,22,6,2025-08-10,4,Rejected,,
128,3099,57,3,2025-09-09,2,Rejected,,
129,1149,56,1,2025-06-12,5,Hired,2025-06-29,17
130,3050,9,3,2025-03-02,2,Rejected,,
131,2099,18,2,2026-01-09,1,Rejected,,
132,3058,12,1,2025-03-29,1,Rejected,,
133,955,65,4,2026-03-27,1,Rejected,,
134,3069,9,1,2026-05-09,1,Rejected,,
135,1213,21,6,2025-04-17,2,Rejected,,
136,111,8,1,2026-04-16,3,Rejected,,
137,1932,23,2,2026-05-31,1,Rejected,,
138,1029,3,3,2025-04-25,2,Rejected,,
139,677,38,4,2025-06-02,2,Rejected,,
140,660,56,5,2025-12-31,5,Hired,2026-01-26,26
141,1729,12,6,2025-03-25,1,Rejected,,
142,2074,57,4,2025-11-26,5,Hired,2025-12-15,19
143,2732,60,4,2026-01-04,3,Rejected,,
144,1566,28,1,2025-11-26,2,Rejected,,
145,2340,29,4,2026-03-15,1,Rejected,,
146,1894,35,1,2026-04-13,1,Withdrawn,,
147,577,1,4,2025-05-22,2,Rejected,,
148,1240,28,3,2025-01-21,3,Rejected,,
149,1211,29,4,2025-06-01,1,Rejected,,
150,515,8,1,2025-04-07,1,Rejected,,
151,2150,15,5,2026-01-19,2,Withdrawn,,
152,1831,30,4,2025-04-08,2,Rejected,,
